title,tag,info,comments,content
西南联大英文课,豆瓣图书标签: 人文,"陈福田 (作者)、胡晓凯 (编者, 丛书主编) / 罗选民 / 中译出版社 / 2017-3-1 / 78.00",(722人评价),"一、品读八十年前民国英文课本，感受联大通识教育独特魅力。
1 《西南联大英文课》原名《大学一年级英文教本》，是西南联大时期（1937-1946）大一学生的英..."
人间草木,豆瓣图书标签: 人文,汪曾祺 / 江苏文艺出版社 / 2005-01 / 20.00元,(10417人评价),"《人间草木》(汪曾祺著)是汪曾祺优秀的散文集。当代文坛上,能同时在小说和散文两块田地里经营,且自成一家的并不多,汪曾祺先生算是其中的一个。汪曾祺先生是公认的..."
天空的另一半,豆瓣图书标签: 人文,[美] 尼可拉斯·D.克里斯多夫、[美]雪莉·邓恩 / 吴茵茵 / 浙江人民出版社 / 2014-5 / 39.80元,(6048人评价),"“过去50年来，在世界范围内遭到杀害的女孩，比整个20世纪死于所有战争的男性还要多。仅仅因为她们的性别。”
在普利策新闻奖得主尼可拉斯·D.克里斯多夫和雪莉..."
中国大历史,豆瓣图书标签: 人文,黄仁宇 / 生活·读书·新知三联书店 / 2007-2 / 19.00元,(23130人评价),中国历史典籍浩如烟海，常使初学者不得其门而入。作者倡导“大历史”（macro-history），主张利用归纳法将现有史料高度压缩，先构成一个简明而前后连贯的...
谈美,豆瓣图书标签: 人文,朱光潜 / 广西师范大学出版社 / 2004-11 / 13.80,(5966人评价),本书是朱光潜先生建立其早期美学理论体系的重要著作之一。全书从“谈美”“免俗”，“人心净化”的目标出发，顺着美从哪里来，美是什么及美的特点这一脉络层层展开，娓...
北欧，冰与火之地的寻真之旅,豆瓣图书标签: 人文,[英] 迈克尔·布斯 / 梁卿 / 生活·读书·新知三联书店 / 2016-1 / 58.00元,(3260人评价),1539年，在奥拉斯 • 马格努斯绘制的《海图》中， 这里还是一片海上巨怪频出的边陲之境，沉睡近500年之后，一跃成为地球上幸福感最为强烈的地区，仅剩天堂可...
20世纪思想史,豆瓣图书标签: 人文,[英] 彼得·沃森 / 张凤、杨阳 / 译林出版社 / 2019-10 / 248.00,(13人评价),"★ 《思想史》作者全面解读20世纪，又一部拒绝简化的思想全史
★ 独树一帜的著史笔法，梳理现代人类境况的观念脉络
★ 20世纪为何如此与众不同，除了战争和政..."
上瘾五百年,豆瓣图书标签: 人文,[美] 戴维·考特莱特 / 薛绚 / 中信出版社 / 2014-8 / 38.00,(2900人评价),"【内容简介】
写给容易上瘾、关注瘾品，对瘾品的历史感兴趣的读者。
早起喝一杯咖啡，疲倦时点一支烟，聚会时来一瓶可乐，你对这些习惯上瘾吗？
酒精、烟草、咖啡因..."
至味在人间,豆瓣图书标签: 人文,陈晓卿 / 广西师范大学出版社 / 2016-1 / 38.00元,(5887人评价),"大隐于市的美食，散落江湖的佳肴，东奔西走，只为吃口热乎的；
一个人的饭馆，每个人的珍珠翡翠白玉汤，南来北往，至味只在人与人之间。
《至味在人间》是一个美食爱..."
﻿聆听音乐,豆瓣图书标签: 音乐,[美] 克雷格·莱特(Craig Wright) / 余志刚、李秀军 / 生活·读书·新知三联书店 / 2012-4-1 / 88.00元,(1263人评价),《聆听音乐(第5版)》主要结构分三部分，音乐元素、音乐史和美国通俗音乐。在讨论任何音乐概念的同时都结合具体作品分析，并有一目了然的图表作必要辅助。存在于每一...
音乐的极境,豆瓣图书标签: 音乐,[美]爱德华·W.萨义德 / 庄加逊 / 广西师范大学出版社 / 2019-6 / 75.00,(22人评价),"从古尔德、波利尼、布伦德尔，到普莱亚、席夫、鲁普；从切利比达克，到巴伦博伊姆、莱文；从巴赫、莫扎特、贝多芬，到瓦格纳、欣德米特、布列兹……
萨义德以专深音乐..."
音乐即自由,豆瓣图书标签: 音乐,[日] 坂本龙一 / 何启宏 / 中信出版集团/楚尘文化 / 2017-4-1 / 48.00元,(1693人评价),本书是日本著名音乐大师坂本龙一唯一口述自传。幼时的坂本龙一，因为饲养小白兔而作的一曲《小兔之歌》，使他第一次强烈地体会到音乐带来的喜悦。青年时，他是一名彻头...
狂想人生,豆瓣图书标签: 音乐,[英] 马克·布莱克 / 席虎牙 / 北京联合出版公司/雅众文化 / 2019-6 / 78.00,(211人评价),"★★★
生活不是玫瑰铺就，它的航行从不愉悦
在舞台上燃尽华丽一生，
唱响音乐与生命交织的狂想曲
发行3亿张唱片、揽获格莱美终身成就奖、入选摇滚名人堂和词曲作..."
